# Na-Usdi-Agigage-Jitaga-Agisi.lyx
# ① ② ③ ④ ⑤ ⑥ ⑦ ⑧ ⑨ ⑩ ⑪ ⑫ ⑬ ⑭ ⑮ ⑯ ⑰ ⑱ ⑲ ⑳ ㉑ ㉒ ㉓ ㉔ ㉕ ㉖ ㉗ ㉘ ㉙ ㉚ ㉛ ㉜ ㉝ ㉞ ㉟ ㊱ ㊲ ㊳ ㊴ ㊵ ㊶ ㊷ ㊸ ㊹ ㊺ ㊻ ㊼ ㊽ ㊾ ㊿
Syllabary|Pronounce|Breakdown|Definition
Ꮭ ᏱᎨᎦ|||I'm not going.
Ꮭ ᏱᎨᏎ|||It wasn't being.
Ꮭ ᏱᎩ|||It isn't.
Ꮭ ᏱᎬᏍᏕᎵᎭ|||I'm not helping you.
Ꮭ ᏱᎬᏩᎩᎸᏗ|||He or she can't get on it and can't get in it.
Ꮭ ᏱᎾᏛᏁᎰ|||You don't do things.
Ꮭ ᏱᏂᎦᏛᏁᎭ|||I am not doing it.
Ꮭ ᏱᏂᎬᏩᏛᏁᏗ|||He or she can't do it.
Ꮭ ᏱᏂᏓᏣᏛᏁᎵ|||You all will not do it.
Ꮭ ᏱᏍᎩᏯᏛᎩᎠ|||You all aren't hearing me.
Ꮭ ᏱᏍᎩᏲᎵᎦ|||You all don't recognize me.
Ꮭ ᏱᏓᎬᏯᏅᎯ|||I will not help you.
Ꮭ ᏱᏓᏣᎯ|||You will not have it.
Ꮭ ᏱᏓᏥᎩ|① hla yidajigi ② hla yidà:jigi||① I won't eat it. ② You all won't eat it.
Ꮭ ᏱᏓᏨᏍᏚᎢᏎᎵ||Ᏹ- Ꮣ- ᎢᏨ- ᎤᏍᏚᎢᏒᎢ -ᎡᎸᎢ|They and I won't open it for you.
Ꮭ ᏱᏓᏲᏣᎵᏍᎪᎸᏓᏁᎵ|||They and I won't permit it.
Ꮭ ᏱᏓᏲᏥᏍᏚᎢᏎᎵ||Ᏹ- Ꮣ- ᎣᏥ- ᎤᏍᏚᎢᏒᎢ -ᎡᎸᎢ|They and I won't open it for him or her.
Ꮭ ᏱᏓᏲᏥᏍᏚᎢᏏ|||We won't open it.
Ꮭ ᏱᏘᏯᎵᏃᎮᏔᏂ|||I will not talk to him or her.
Ꮭ ᏱᏛᏂᎩᏒᏏ|||They won't go and get it.
Ꮭ ᏱᏛᏂᏫᏛᎯ|||Ꮨhey won't take it somewhere.
Ꮭ ᏱᏛᏍᏚᎢᏏ|||He or she won't open it.
Ꮭ ᏱᏛᏫᏏ|||He or she won't plant it.
Ꮭ ᏱᏣᎵᏍᏕᎵᏍᎪ|||You all don't help.
Ꮭ ᏱᏣᎵᏍᏕᎸᎮ|||You all didn't help.
Ꮭ ᏱᏥᎩᏎᎦ|||I'm not leaving to get it.
Ꮭ ᏱᏥᎩᏒᏒᎭ||Ᏹ- ᎢᏥ- ᎤᎩᏒᎢ- -ᎥᏒᎢ -ᎥᎭ|You all shouldn't or wouldn't go and get it.
Ꮭ ᏱᏥᏍᏚᎢᏒᎭ||Ᏹ- ᎢᏥ- ᎤᏍᏚᎢᏒᎢ -ᎥᎭ|You all shouldn't or wouldn't open it.
Ꮭ ᏱᏥᏚᏅᎭ|||You all didn't bake it.
Ꮭ ᏱᏥᏟᏌᏅᎩ|||You all didn't gather it.
Ꮭ ᏱᏥᏟᏌᏅᎭ|||You all shouldn't or wouldn't gather it.
Ꮭ ᏱᏥᏩᏛᎲᎩ|||You all did not find it.
Ꮭ ᏱᏥᏫᏒᎩ|||You all did not planted it.
Ꮭ ᏱᏥᏫᏒᎭ|||Maybe you all shouldn't or wouldn't plant it.
Ꮭ ᏱᏥᏫᏗᎭ|||I'm not it anywhere.
Ꮭ ᏱᏥᏫᏛᎲᎩ|||You all didn't take it anywhere.
Ꮭ ᏱᏥᏫᏛᎲᎭ|||You all shouldn't or wouldn't take it anywhere.
Ꮭ ᏱᏭᏁᏅᏎ|||They shouldn't or wouldn't go.
Ꮭ ᏳᎩᏒᏎ|||He or she did not go and get it.
Ꮭ ᏳᏂᎩᏒᏎ||Ᏹ- ᎤᏂ- ᎤᎩᏒᎢ -ᎥᏒᎢ|They did not leave and get it.
Ꮭ ᏳᏂᏟᏌᏁ|||They didn't gather it.
Ꮭ ᏳᏂᏩᏚᏁ|||They didn't make it.
Ꮭ ᏳᏂᏩᏛᎮ|||They didn't find it.
Ꮭ ᏳᏂᏫᏎ|||They didn't plant it.
Ꮭ ᏳᏂᏫᏛᎮ|||They didn't take it anywhere.
Ꮭ ᏳᏩᏛᎮ|||He or she didn't find it.
Ꮭ ᏳᏩᏟᏌᏁ|||He or she didn't gather it.
Ꮭ ᏳᏩᏟᏌᏅᎭ|||He or she shouldn't or wouldn't gather it.
Ꮭ ᏳᏪᏅᏎ|||He or she didn't go.
Ꮭ ᏳᏫᏎ|||He or she didn't plant it.
ᏞᏍᏗ ᏥᎯᏯᎵᏃᎮᏓ|||Do not speak to him or her.
ᏠᎨᏏ|||A field.
ᏣᎦᏎᏍᏕᏍᏗ|||① You will be careful. ② Let you be careful.
ᏣᎭ|||You have it.
ᏣᏍᏗ|||You are good.
ᏣᏘᏗ|||For me to bake it.
ᏣᏚᎵᎭ|||You are wanting.
ᏣᏚᏅᎩ|||You baked it.
ᏣᏤᎵ|||Your.
ᏣᏩᏟᏌᏅᎩ|||You gathered it.
ᏣᏫᏍᏗᏍ|||Is it for you to plant it?
